Movie,Month,Day,Release Year,Budget($M),Domestic Gross($M),Worldwide Gross($M)
Terminator: Genisys,Jul,1,2015,155,89.760956,440.160956
Alexander,Nov,24,2004,155,34.297191,167.297191
Pearl Harbor,May,25,2001,151.5,198.539855,449.239855
Transformers,Jul,2,2007,151,319.246193,708.272592
Frozen,Nov,22,2013,150,400.738009,1274.23498
Zootopia,Mar,4,2016,150,341.268248,1021.768248
Harry Potter and the Order of the Phoenix,Jul,11,2007,150,292.004738,942.943935
Harry Potter and the Goblet of Fire,Nov,18,2005,150,290.013036,896.911078
The Matrix Reloaded,May,15,2003,150,281.553689,738.576929
I am Legend,Dec,14,2007,150,256.39301,585.532684
Hancock,Jul,1,2008,150,227.946274,624.234272
Charlie and the Chocolate Factory,Jul,15,2005,150,206.459076,475.825484
Ratatouille,Jun,29,2007,150,206.445654,626.549695
Thor: The Dark World,Nov,8,2013,150,206.36214,644.602516
Batman Begins,Jun,15,2005,150,205.343774,359.142722
Mission: Impossible - Rogue Nation,Jul,31,2015,150,195.042377,700.868363
Thor,May,6,2011,150,181.030624,449.326618
Madagascar: Escape 2 Africa,Nov,7,2008,150,180.01095,599.516844
X-Men Origins: Wolverine,May,1,2009,150,179.883157,374.82576
Night at the Museum: Battle of the Smithsonian,May,22,2009,150,177.243721,402.231063
Kung Fu Panda 2,May,26,2011,150,165.249063,664.837547
Mad Max: Fury Road,May,15,2015,150,153.636354,373.136354
The Matrix Revolutions,Nov,5,2003,150,139.27091,427.30026
Mission: Impossible III,May,5,2006,150,133.501348,397.501348
Angels & Demons,May,15,2009,150,133.375846,490.875846
Troy,May,14,2004,150,133.298577,484.161265
The Last Airbender,Jul,1,2010,150,131.772187,319.713881
Bee Movie,Nov,2,2007,150,126.631277,287.594577
G-Force,Jul,24,2009,150,119.43677,292.817841
Bolt,Nov,21,2008,150,114.053759,328.015209
Wrath of the Titans,Mar,30,2012,150,83.670083,305.270083
Beowulf,Nov,16,2007,150,82.195215,194.995215
Dark Shadows,May,11,2012,150,79.727149,238.202668
White House Down,Jun,28,2013,150,73.103784,205.440387
The Wolfman,Feb,12,2010,150,62.189884,142.634358
Pan,Oct,9,2015,150,35.08832,123.88832
Mars Needs Moms,Mar,11,2011,150,21.392758,39.549758
Passengers,Dec,21,2016,150,0,0
Flushed Away,Nov,3,2006,149,64.665672,179.357126
Madagascar 3: Europe's Most Wanted,Jun,8,2012,145,216.391482,746.921271
Mission: Impossible—Ghost Protocol,Dec,16,2011,145,209.397903,694.71323
How to Train Your Dragon 2,Jun,13,2014,145,177.002924,616.102924
Tarzan,Jun,16,1999,145,171.091819,448.191819
Mr. Peabody & Sherman,Mar,7,2014,145,111.50643,269.80643
Rise of the Guardians,Nov,21,2012,145,103.412758,306.900902
Sahara,Apr,8,2005,145,68.671925,121.671925
Ghostbusters,Jul,15,2016,144,127.711314,228.365989
Die Another Day,Nov,22,2002,142,160.942139,431.942139
Star Trek,May,8,2009,140,257.730019,385.680446
Armageddon,Jul,1,1998,140,201.578182,554.6
Men in Black 2,Jul,3,2002,140,190.418803,441.767803
Captain America: The First Avenger,Jul,22,2011,140,176.654505,370.569776
Kung Fu Panda 3,Jan,29,2016,140,143.528619,518.628619
Lethal Weapon 4,Jul,10,1998,140,130.444603,285.4
G.I. Joe: Retaliation,Mar,27,2013,140,122.52306,375.740705
The Last Samurai,Dec,5,2003,140,111.110575,456.810575
Fun With Dick And Jane,Dec,21,2005,140,110.55,203.018919
Exodus: Gods and Kings,Dec,12,2014,140,65.014513,268.314513
The BFG,Jul,1,2016,140,55.451779,147.601779
Gods of Egypt,Feb,26,2016,140,31.153464,133.553464
Spider-Man,May,3,2002,139,403.706375,821.706375
Watchmen,Mar,6,2009,138,107.509799,184.068357
Stealth,Jul,29,2005,138,32.116746,76.416746
The Incredible Hulk,Jun,13,2008,137.5,134.806913,263.417913
Hulk,Jun,20,2003,137,132.177234,245.229234
Final Fantasy: The Spirits Within,Jul,11,2001,137,32.13183,85.13183
"The Twilight Saga: Breaking Dawn, Part 2",Nov,16,2012,136.2,292.324737,829.724737
The Croods,Oct,1,2012,135,187.168425,573.068425
The Revenant,Dec,25,2015,135,183.637894,532.950503
The World is Not Enough,Nov,19,1999,135,126.93066,361.73066
Rango,Mar,4,2011,135,123.257581,245.504574
Master and Commander: The Far Side of the World,Nov,14,2003,135,93.926386,212.912137
Turbo,Jul,17,2013,135,83.02813,286.896578
Teenage Mutant Ninja Turtles: Out of the Shadows,Jun,3,2016,135,82.051601,244.451601
Happy Feet Two,Nov,18,2011,135,64.006466,157.956466
Miami Vice,Jul,28,2006,135,63.478838,163.818556
War of the Worlds,Jun,29,2005,132,234.280354,606.836535
Penguins of Madagascar,Nov,26,2014,132,83.350911,367.650911
The Hunger Games: Catching Fire,Nov,22,2013,130,424.668047,864.868047
Harry Potter and the Prisoner of Azkaban,Jun,4,2004,130,249.538952,796.688549
The Bourne Ultimatum,Aug,3,2007,130,227.47107,442.161562
Kung Fu Panda,Jun,6,2008,130,215.434591,631.910531
Ant-Man,Jul,17,2015,130,180.202163,518.602163
Home,Mar,27,2015,130,177.39751,386.085953
Puss in Boots,Oct,28,2011,130,149.260504,554.987477
Megamind,Nov,5,2010,130,148.415853,321.887208
Bad Boys II,Jul,18,2003,130,138.54087,273.271982
Rio 2,Apr,11,2014,130,131.538435,493.738435
Salt,Jul,23,2010,130,118.311368,290.650494
Noah,Mar,28,2014,130,101.200044,352.831065
The Adventures of Tintin,Dec,21,2011,130,77.591831,373.993951
After Earth,May,31,2013,130,60.522097,251.499665
Australia,Nov,26,2008,130,49.554002,215.08081
R.I.P.D.,Jul,19,2013,130,33.618855,79.072464
"The Twilight Saga: Breaking Dawn, Part 1",Nov,18,2011,127.5,281.287133,689.420051
Dinosaur,May,19,2000,127.5,137.748063,356.148063
Night at the Museum: Secret of the Tomb,Dec,19,2014,127,113.746621,356.546621
Harry Potter and the Deathly Hallows: Part II,Jul,15,2011,125,381.011219,1341.511219
The Hunger Games: Mockingjay - Part 1,Nov,21,2014,125,337.135885,766.652288
Harry Potter and the Sorcerer’s Stone,Nov,16,2001,125,317.57555,974.755371
Pirates of the Caribbean: The Curse of the Black Pearl,Jul,9,2003,125,305.411224,634.954103
Harry Potter and the Deathly Hallows: Part I,Nov,19,2010,125,295.983305,960.283305
The Da Vinci Code,May,19,2006,125,217.536138,767.820459
X2,May,2,2003,125,214.949694,407.711549
Fast Five,Apr,29,2011,125,209.837675,629.969804
Teenage Mutant Ninja Turtles,Aug,8,2014,125,191.204754,485.004754
Sherlock Holmes: A Game of Shadows,Dec,16,2011,125,186.848418,535.663443
The Day After Tomorrow,May,28,2004,125,186.740799,556.31945
Clash of the Titans,Apr,1,2010,125,163.214888,493.214888
Godzilla,May,19,1998,125,136.314294,376
Prometheus,Jun,8,2012,125,126.477084,399.005706
The Bourne Legacy,Aug,10,2012,125,113.20387,280.35592
Batman & Robin,Jun,20,1997,125,107.325195,238.317814
Total Recall,Aug,3,2012,125,58.877969,211.856088
The 13th Warrior,Aug,27,1999,125,32.698899,61.698899
How the Grinch Stole Christmas,Nov,17,2000,123,260.044825,345.141403
Mission: Impossible 2,May,24,2000,120,215.409889,549.588516
The Perfect Storm,Jun,30,2000,120,182.618434,328.711434
Jason Bourne,Jul,29,2016,120,161.784595,399.184595
Fantastic Four: Rise of the Silver Surfer,Jun,15,2007,120,131.921738,288.215319
Life of Pi,Nov,21,2012,120,124.987022,607.987022
Ghost Rider,Feb,16,2007,120,115.802596,229.545589
Charlie's Angels: Full Throttle,Jun,27,2003,120,100.814328,227.2
Elysium,Aug,9,2013,120,93.050117,286.192091
Oblivion,Apr,19,2013,120,89.107235,287.916633
Stuart Little 2,Jul,19,2002,120,64.956806,166
RoboCop,Feb,12,2014,120,58.607007,242.981799
The Chronicles of Riddick,Jun,11,2004,120,57.712751,107.212751
Fantastic Four,Aug,7,2015,120,56.117548,167.117548
Speed Racer,May,9,2008,120,43.945766,93.394462
The Island,Jul,22,2005,120,35.818913,163.018913
How Do You Know?,Dec,17,2010,120,30.21262,49.628177
Trolls,Nov,4,2016,120,0,0
Knight and Day,Jun,23,2010,117,76.423035,258.75137
Star Wars Ep. I: The Phantom Menace,May,19,1999,115,474.544677,1027.044677
Star Wars Ep. III: Revenge of the Sith,May,19,2005,115,380.270577,848.998877
Star Wars Ep. II: Attack of the Clones,May,16,2002,115,310.67674,656.695615
"Monsters, Inc.",Nov,2,2001,115,289.423425,559.757719
The Wolverine,Jul,26,2013,115,132.556852,416.456852
Dante's Peak,Feb,7,1997,115,67.163857,178.2
The Huntsman: Winter’s War,Apr,22,2016,115,48.003015,164.602163
Windtalkers,Jun,14,2002,115,40.914068,77.628265
Astérix aux Jeux Olympiques,Jul,4,2008,113.5,0.999811,132.999811
Gulliver's Travels,Dec,25,2010,112,42.779261,232.017848
Gravity,Oct,4,2013,110,274.092705,716.392705
Night at the Museum,Dec,22,2006,110,250.863268,579.446407
Mr. and Mrs. Smith,Jun,10,2005,110,186.336279,486.12409
San Andreas,May,29,2015,110,155.190832,469.590832
The Smurfs,Jul,29,2011,110,142.614158,563.749323
Live Free or Die Hard,Jun,27,2007,110,134.529403,382.288147
The Divergent Series: Insurgent,Mar,20,2015,110,130.179072,295.279072
Ocean's Twelve,Dec,10,2004,110,125.531634,362.989076
Tomorrow Never Dies,Dec,19,1997,110,125.304276,339.504276
The Patriot,Jun,28,2000,110,113.330342,215.3
300: Rise of an Empire,Mar,7,2014,110,106.580051,330.780051
The Aviator,Dec,17,2004,110,102.608827,208.370892
The Green Hornet,Jan,14,2011,110,98.780042,229.155503
Real Steel,Oct,7,2011,110,85.463309,263.880341
The A-Team,Jun,11,2010,110,77.222099,177.241171
The Smurfs 2,Jul,31,2013,110,71.017784,348.547523
The Divergent Series: Allegiant,Mar,18,2016,110,66.184051,171.484051
The Taking of Pelham 123,Jun,12,2009,110,65.452312,152.36437
Ender's Game,Nov,1,2013,110,61.737191,89.737191
Home on the Range,Apr,2,2004,110,50.026353,76.482461
Speed 2: Cruise Control,Jun,13,1997,110,48.097081,150.468
Kingdom of Heaven,May,6,2005,110,47.398413,218.853353
Miss Peregrine’s Home for Peculiar Children,Sep,30,2016,110,36.053483,72.553483
Around the World in 80 Days,Jun,16,2004,110,24.004159,72.004159
The Lord of the Rings: The Fellowship of the Ring,Dec,19,2001,109,315.54475,887.217688
The Cat in the Hat,Nov,21,2003,109,101.018283,133.818283
Ali,Dec,25,2001,109,58.183966,87.683966
The Martian,Oct,2,2015,108,228.433663,640.055863
"I, Robot",Jul,16,2004,105,144.801023,348.629585
Stuart Little,Dec,17,1999,105,140.015224,298.815224
The Princess and the Frog,Nov,25,2009,105,104.400899,270.997378
"10,000 B.C.",Mar,7,2008,105,94.784201,269.065678
Ice Age: Collision Course,Jul,22,2016,105,63.871492,403.871492
Town & Country,Apr,27,2001,105,6.712451,10.364769
Gone in 60 Seconds,Jun,9,2000,103.3,101.643008,232.643008
Gladiator,May,5,2000,103,187.683805,457.683805
The Hangover 3,May,23,2013,103,112.200072,362.000072
Public Enemies,Jul,1,2009,102.5,97.10462,212.282709
Casino Royale,Nov,17,2006,102,167.365,594.420283
Minority Report,Jun,21,2002,102,132.024714,358.824714
Cloud Atlas,Oct,26,2012,102,27.108272,130.673154
Harry Potter and the Chamber of Secrets,Nov,15,2002,100,261.98788,878.979634
Terminator 2: Judgment Day,Jul,2,1991,100,201.858746,513.815401
Batman Forever,Jun,16,1995,100,184.031112,336.529144
Planet of the Apes,Jul,27,2001,100,180.01174,362.21174
National Treasure,Nov,19,2004,100,173.005002,331.32341
Django Unchained,Dec,25,2012,100,162.805434,449.948323
Little Fockers,Dec,22,2010,100,148.4386,310.650574
True Lies,Jul,15,1994,100,146.282411,365.3
American Gangster,Nov,2,2007,100,130.164645,267.985456
Cloudy with a Chance of Meatballs,Sep,18,2009,100,124.870275,236.827677
The Other Guys,Aug,6,2010,100,119.219978,170.93647
Lemony Snicket's A Series of Unfortunate Events,Dec,17,2004,100,118.627117,212.956024
The Wolf of Wall Street,Dec,25,2013,100,116.900694,391.976723
Epic,May,24,2013,100,107.518682,262.794441
Eraser,Jun,21,1996,100,101.295562,234.4
The Hunchback of Notre Dame,Jun,21,1996,100,100.138851,325.5
The Emperor's New Groove,Dec,15,2000,100,89.296573,169.296573
The Expendables 2,Aug,17,2012,100,85.028192,311.979256
Where the Wild Things Are,Oct,16,2009,100,77.233467,99.123656
Eragon,Dec,15,2006,100,75.030163,249.488115
Hercules,Jul,25,2014,100,72.688614,243.388614
The Tourist,Dec,10,2010,100,67.631157,278.731369
End of Days,Nov,24,1999,100,66.889043,212.026975
The Stepford Wives,Jun,11,2004,100,59.475623,96.221971
Surf's Up,Jun,8,2007,100,58.867694,145.395745
Blood Diamond,Dec,8,2006,100,57.377916,171.377916
Legend of the Guardians: The Owls of Ga'Hoole,Sep,24,2010,100,55.675313,139.716717
Starship Troopers,Nov,7,1997,100,54.768952,121.1
Land of the Lost,Jun,5,2009,100,49.43837,69.548641
Peter Pan,Dec,25,2003,100,48.41785,95.255485
Catwoman,Jul,23,2004,100,40.202379,82.145379
The Expendables 3,Aug,15,2014,100,39.322544,209.461378
Treasure Planet,Nov,27,2002,100,38.120554,91.8
Green Zone,Mar,12,2010,100,35.497337,97.52302
Point Break,Dec,25,2015,100,28.782481,128.131571
In the Heart of the Sea,Dec,11,2015,100,25.020758,90.420758
Transcendence,Apr,18,2014,100,23.022309,103.039258
Son of the Mask,Feb,18,2005,100,17.018422,59.918422
The Spanish Prisoner,Apr,3,1998,100,10.162034,13.83513
The Adventures of Pluto Nash,Aug,16,2002,100,4.411102,7.094995
Jin líng shí san chai,Dec,21,2011,100,0.311434,93.721434
The Peanuts Movie,Nov,6,2015,99,130.178411,244.778411
The Mummy Returns,May,4,2001,98,202.00764,435.040395
Gangs of New York,Dec,20,2002,97,77.7305,183.124621
Jack Reacher: Never Go Back,Oct,21,2016,96,0,0
Cinderella,Mar,13,2015,95,201.151353,534.551353
Ice Age: Continental Drift,Jul,13,2012,95,161.321843,879.765137
Black Hawk Down,Dec,28,2001,95,108.638745,159.691085
Sex and the City 2,May,27,2010,95,95.347692,294.680778
Percy Jackson & the Olympians: The Lightning Thief,Feb,12,2010,95,88.768303,223.050874
The Campaign,Aug,10,2012,95,86.907746,104.907746
Unstoppable,Nov,12,2010,95,81.562942,169.511609
The Fifth Element,May,9,1997,95,63.570862,263.9
The Road to El Dorado,Mar,31,2000,95,50.802661,65.7
The Lovely Bones,Dec,11,2009,95,44.114232,94.894448
Ben-Hur,Aug,19,2016,95,26.410477,89.310477
Seventh Son,Feb,6,2015,95,17.223265,110.623265
Finding Nemo,May,30,2003,94,380.52937,936.42937
The Lord of the Rings: The Return of the King,Dec,17,2003,94,377.845905,1141.408667
The Lord of the Rings: The Two Towers,Dec,18,2002,94,342.548984,934.703179
Lara Croft: Tomb Raider,Jun,15,2001,94,131.144183,273.330185
Kingsman: The Secret Service,Feb,13,2015,94,128.261724,404.561724
Jurassic Park III,Jul,18,2001,93,181.166115,365.9
Rise of the Planet of the Apes,Aug,5,2011,93,176.760185,482.860185
The Spiderwick Chronicles,Feb,14,2008,92.5,71.195053,162.839667
The Incredibles,Nov,5,2004,92,261.441092,614.726752
A Good Day to Die Hard,Feb,14,2013,92,67.349198,304.249198
The Alamo,Apr,9,2004,92,22.406362,23.911362
Cutthroat Island,Dec,22,1995,92,10.017322,18.517322
The Secret Life of Walter Mitty,Dec,25,2013,91,58.236838,188.536838
Men in Black,Jul,1,1997,90,250.690539,587.790539
Toy Story 2,Nov,19,1999,90,245.852179,511.358276
Rush Hour 2,Aug,3,2001,90,226.164286,347.425832
Sherlock Holmes,Dec,25,2009,90,209.028679,498.438212
Ice Age: Dawn of the Dinosaurs,Jul,1,2009,90,196.573705,859.701857
What Lies Beneath,Jul,21,2000,90,155.464351,288.693989
Rio,Apr,15,2011,90,143.619809,487.519809
The Departed,Oct,6,2006,90,132.384315,289.660619
Charlie's Angels,Nov,3,2000,90,125.305545,259.73609
Mulan,Jun,19,1998,90,120.620254,303.5
Tropic Thunder,Aug,13,2008,90,110.461307,191.09125
The Girl with the Dragon Tattoo,Dec,20,2011,90,102.515793,239.37397
Contact,Jul,11,1997,90,100.920329,165.9
You Don't Mess With the Zohan,Jun,6,2008,90,100.018837,202.910991
Die Hard: With a Vengeance,May,19,1995,90,100.012499,366.101666
Alvin and the Chipmunks: The Road Chip,Dec,18,2015,90,85.886987,235.29608
Atlantis: The Lost Empire,Jun,8,2001,90,84.052762,186.04902
Valkyrie,Dec,25,2008,90,83.077762,203.902107
Pixels,Jul,24,2015,90,78.747585,244.1263
Artificial Intelligence: AI,Jun,29,2001,90,78.616689,235.9
The Haunted Mansion,Nov,26,2003,90,75.817994,155.750628
Hollow Man,Aug,4,2000,90,73.20934,191.2
The Interpreter,Apr,22,2005,90,72.708161,162.753837
Percy Jackson: Sea of Monsters,Aug,7,2013,90,68.559554,200.859554
The Magnificent Seven,Sep,23,2016,90,66.765393,113.265393
Lara Croft: Tomb Raider: The Cradle of Life,Jul,25,2003,90,65.653758,157.092943
Now You See Me 2,Jun,10,2016,90,65.07554,328.67554
Spy Game,Nov,21,2001,90,62.36256,143.04956
The Saint,Apr,4,1997,90,61.363304,169.4
Mission to Mars,Mar,10,2000,90,60.874615,106
Bicentennial Man,Dec,17,1999,90,58.220776,87.420776
King Arthur,Jul,7,2004,90,51.877963,203.877963
Volcano,Apr,25,1997,90,47.546796,120.1
The Devil's Own,Mar,26,1997,90,42.885593,140.9
K-19: The Widowmaker,Jul,19,2002,90,35.168966,65.716126
Conan the Barbarian,Aug,19,2011,90,21.295021,63.356133
The Three Musketeers,Oct,21,2011,90,20.377913,139.877913
The Nutcracker in 3D,Nov,24,2010,90,0.195459,20.466016
Twister,May,10,1996,88,241.688385,495.7
Cinderella Man,Jun,3,2005,88,61.649911,105.021488
Fantastic Four,Jul,8,2005,87.5,154.69608,330.71708
Hannibal,Feb,9,2001,87,165.092266,350.10028
Seabiscuit,Jul,25,2003,86,120.277854,148.715342
Cast Away,Dec,22,2000,85,233.632142,427.230516
Happy Feet,Nov,17,2006,85,198.000317,385.000317
Ocean's Eleven,Dec,7,2001,85,183.41715,450.728529
The Bourne Supremacy,Jul,23,2004,85,176.08745,288.58745
Air Force One,Jul,25,1997,85,172.956409,315.268353
Fast & Furious,Apr,3,2009,85,155.064265,363.064265
Horton Hears a Who,Mar,14,2008,85,154.529439,299.477886
Divergent,Mar,21,2014,85,150.947895,276.014965
Hotel Transylvania,Sep,28,2012,85,148.313048,378.505812
Enchanted,Nov,21,2007,85,127.706877,340.384141
Safe House,Feb,10,2012,85,126.18163,208.542162
I Now Pronounce You Chuck and Larry,Jul,20,2007,85,119.72528,185.708462
Ocean's Thirteen,Jun,8,2007,85,117.144465,311.744465
It's Complicated,Dec,25,2009,85,112.735375,224.614744
Enemy of the State,Nov,20,1998,85,111.549836,250.649836
Open Season,Sep,29,2006,85,85.105259,191.932158
Tower Heist,Nov,4,2011,85,78.04657,153.487972
102 Dalmatians,Nov,22,2000,85,66.941559,66.941559
Mirror Mirror,Mar,30,2012,85,64.935167,173.613482
The Holiday,Dec,8,2006,85,63.28,205.190324
The Fast and the Furious: Tokyo Drift,Jun,16,2006,85,62.61551,157.794205
Memoirs of a Geisha,Dec,9,2005,85,57.010853,161.510853
Enemy at the Gates,Mar,16,2001,85,51.396781,96.971293
Last Action Hero,Jun,18,1993,85,50.016394,137.298489
The Rundown,Sep,26,2003,85,47.641743,80.831893
Arthur Christmas,Nov,23,2011,85,46.462469,149.717124
Cats & Dogs: The Revenge of Kitty Galore,Jul,30,2010,85,45.539292,114.979922
Meet Joe Black,Nov,13,1998,85,44.650003,44.650003
Collateral Damage,Feb,8,2002,85,40.048332,78.353508
Showtime,Mar,15,2002,85,37.948765,78.948765
Judge Dredd,Jun,30,1995,85,34.687912,113.487912
Zodiac,Mar,2,2007,85,33.080084,83.080084
Scott Pilgrim vs. The World,Aug,13,2010,85,31.611316,48.056764
The Core,Mar,28,2003,85,31.11126,74.132631
Father's Day,May,9,1997,85,28.68108,35.68108
Scooby-Doo,Jun,14,2002,84,153.294164,276.294164
Nutty Professor II: The Klumps,Jul,28,2000,84,123.307945,166.307945
RED 2,Jul,19,2013,84,53.26256,137.16256
Click,Jun,23,2006,82.5,137.355633,237.685089
Charlotte's Web,Dec,15,2006,82.5,82.985708,143.985708
Jumper,Feb,14,2008,82.5,81.168265,223.636949
